,txt_file,tot_battles,avg_weight_team
149,https://www.smogon.com/stats/2015-05/gen5ou-1500.txt,1514,0.631
150,https://www.smogon.com/stats/2015-05/gen5ou-1630.txt,1514,0.158
151,https://www.smogon.com/stats/2015-05/gen5ou-1760.txt,1514,0.031
152,https://www.smogon.com/stats/2015-05/gen5uu-0.txt,1,1.0
153,https://www.smogon.com/stats/2015-05/gen5uu-1500.txt,1,0.5
154,https://www.smogon.com/stats/2015-05/gen5uu-1630.txt,1,0.0
155,https://www.smogon.com/stats/2015-05/gen5uu-1760.txt,1,0.0
156,https://www.smogon.com/stats/2015-05/gen5ru-0.txt,4,1.0
157,https://www.smogon.com/stats/2015-05/gen5ru-1500.txt,4,0.586
158,https://www.smogon.com/stats/2015-05/gen5ru-1630.txt,4,0.0
159,https://www.smogon.com/stats/2015-05/gen5ru-1760.txt,4,0.0
160,https://www.smogon.com/stats/2015-05/gen5ru-0.txt,4,1.0
161,https://www.smogon.com/stats/2015-05/gen5ru-1500.txt,4,0.586
162,https://www.smogon.com/stats/2015-05/gen5ru-1630.txt,4,0.0
163,https://www.smogon.com/stats/2015-05/gen5ru-1760.txt,4,0.0
164,https://www.smogon.com/stats/2015-05/gen5ru-0.txt,4,1.0
165,https://www.smogon.com/stats/2015-05/gen5ru-1500.txt,4,0.586
166,https://www.smogon.com/stats/2015-05/gen5ru-1630.txt,4,0.0
167,https://www.smogon.com/stats/2015-05/gen5ru-1760.txt,4,0.0
168,https://www.smogon.com/stats/2015-06/gen5ubers-0.txt,45,1.0
169,https://www.smogon.com/stats/2015-06/gen5ubers-1500.txt,45,0.575
170,https://www.smogon.com/stats/2015-06/gen5ubers-1630.txt,45,0.07
171,https://www.smogon.com/stats/2015-06/gen5ubers-1760.txt,45,0.034
172,https://www.smogon.com/stats/2015-06/gen5ou-0.txt,1744,1.0
173,https://www.smogon.com/stats/2015-06/gen5ou-1500.txt,1744,0.605
174,https://www.smogon.com/stats/2015-06/gen5ou-1630.txt,1744,0.166
175,https://www.smogon.com/stats/2015-06/gen5ou-1760.txt,1744,0.038
176,https://www.smogon.com/stats/2015-06/gen5uu-0.txt,4,1.0
177,https://www.smogon.com/stats/2015-06/gen5uu-1500.txt,4,0.567
178,https://www.smogon.com/stats/2015-06/gen5uu-1630.txt,4,0.0
179,https://www.smogon.com/stats/2015-06/gen5uu-1760.txt,4,0.0
180,https://www.smogon.com/stats/2015-06/gen5uu-0.txt,4,1.0
181,https://www.smogon.com/stats/2015-06/gen5uu-1500.txt,4,0.567
182,https://www.smogon.com/stats/2015-06/gen5uu-1630.txt,4,0.0
183,https://www.smogon.com/stats/2015-06/gen5uu-1760.txt,4,0.0
184,https://www.smogon.com/stats/2015-06/gen5uu-0.txt,4,1.0
185,https://www.smogon.com/stats/2015-06/gen5uu-1500.txt,4,0.567
186,https://www.smogon.com/stats/2015-06/gen5uu-1630.txt,4,0.0
187,https://www.smogon.com/stats/2015-06/gen5uu-1760.txt,4,0.0
188,https://www.smogon.com/stats/2015-06/gen5uu-0.txt,4,1.0
189,https://www.smogon.com/stats/2015-06/gen5uu-1500.txt,4,0.567
190,https://www.smogon.com/stats/2015-06/gen5uu-1630.txt,4,0.0
191,https://www.smogon.com/stats/2015-06/gen5uu-1760.txt,4,0.0
192,https://www.smogon.com/stats/2015-07/gen5ubers-0.txt,23,1.0
193,https://www.smogon.com/stats/2015-07/gen5ubers-1500.txt,23,0.549
194,https://www.smogon.com/stats/2015-07/gen5ubers-1630.txt,23,0.068
195,https://www.smogon.com/stats/2015-07/gen5ubers-1760.txt,23,0.048
196,https://www.smogon.com/stats/2015-07/gen5ou-0.txt,1544,1.0
197,https://www.smogon.com/stats/2015-07/gen5ou-1500.txt,1544,0.598
198,https://www.smogon.com/stats/2015-07/gen5ou-1630.txt,1544,0.135
199,https://www.smogon.com/stats/2015-07/gen5ou-1760.txt,1544,0.025
200,https://www.smogon.com/stats/2015-07/gen5uu-0.txt,2,1.0
201,https://www.smogon.com/stats/2015-07/gen5uu-1500.txt,2,0.5
202,https://www.smogon.com/stats/2015-07/gen5uu-1630.txt,2,0.0
203,https://www.smogon.com/stats/2015-07/gen5uu-1760.txt,2,0.0
204,https://www.smogon.com/stats/2015-07/gen5ru-0.txt,1,1.0
205,https://www.smogon.com/stats/2015-07/gen5ru-1500.txt,1,0.5
206,https://www.smogon.com/stats/2015-07/gen5ru-1630.txt,1,0.0
207,https://www.smogon.com/stats/2015-07/gen5ru-1760.txt,1,0.0
208,https://www.smogon.com/stats/2015-07/gen5ru-0.txt,1,1.0
209,https://www.smogon.com/stats/2015-07/gen5ru-1500.txt,1,0.5
210,https://www.smogon.com/stats/2015-07/gen5ru-1630.txt,1,0.0
211,https://www.smogon.com/stats/2015-07/gen5ru-1760.txt,1,0.0
212,https://www.smogon.com/stats/2015-07/gen5ru-0.txt,1,1.0
213,https://www.smogon.com/stats/2015-07/gen5ru-1500.txt,1,0.5
214,https://www.smogon.com/stats/2015-07/gen5ru-1630.txt,1,0.0
215,https://www.smogon.com/stats/2015-07/gen5ru-1760.txt,1,0.0
216,https://www.smogon.com/stats/2015-08/gen5ubers-0.txt,46,1.0
217,https://www.smogon.com/stats/2015-08/gen5ubers-1500.txt,46,0.555
218,https://www.smogon.com/stats/2015-08/gen5ubers-1630.txt,46,0.015
